user,text
1277002215614558213,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Vamos aprofujitrolls que los sabados no se descansa 😂 https://t.co/imLm83ylRt
1277002211327909890,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Recuerden que aun quedan muchos q podemos contagiarnos y mas aun que ya se levanta la cuarentena y la mayoria sale en mancha...a este dar 15 dias para ver el nuevo repunte....salvese quien pueda
1277002196706562048,@Minsa_Peru @victorzamora @reyconbarba @reyreysincorona @JBCPERU a raiz de la flexibilidad de horario y libre transito que dicto el gobierno los contagios han empezado a disminuir. ¿Se puede haber equivocado la estrategia desde el inicio al implementar tantas medidas represivas?
1277002166985789440,@DEtimpera @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Antes se hacian 60.000 pruebas y eran 5.000 e incluso se llego a 7.000. Me vas a decir que ahora que se hacen 1/4 de las pruebas que se hacian antes estamos bien?
1277002160484515840,@Ha_kuho @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Los heroes sin capa y sin epis son los medicos y todo el personal sanitario.
1277002134559625219,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano esperen ahorita sale droppy...Estan que le dan de a perro
1277002103005814784,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Altas tambien son mas que contagios , buena data , muertes suben radicalmente . Ademas un punto de vista se estaba haciendo 22 mil pruebas , ahora por segundo dia consecutivo estan haciendo 20mil . Solo para la data ."
1277002032675786755,@idaniel32 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano SI ESE ES https://t.co/5o83s5ITJ8
1277001958340153344,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Que mal que veamos gente que todavia no acepta por su terquedad y orgullo que estos dias estamos yendo bien en casi todo. Les cuesta decir eso jajaja. Pero lo bueno que cada dia hay menos, y se quedan con su ocico cerrado."
1277001947032084480,"@NNnadramija De momento si. Seria interesante ver como esta el R actual y como ha ido variando a traves del tiempo en Peru - por regiones, cada region parece tener un comportamiento distinto

Desconozco si esos datos estan disponibles. De todas maneras, @Minsa_Peru deberia haberlos compartido"
1277001889222197251,@DEtimpera @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Haciendo unicamente 20.000 test diarios resulta curioso creer que esas cifras reflejan la realidad de lo que esta pasando.
1277001887280226306,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Rayos, llegue muy temprano!! 🤣"
1277001882997841927,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano VAMOS CARAJO, LAS ALTAS ESTAN SIENDO MAS ALTOS QUE LAO CONTAGIADOS. Espero que este asi despues de el 1ro de Julio, aunque dificil porque los contagias se dispararan para quincena"
1277001836030046208,@MartinRatero @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Es droopy tambien?
